Ticker,Company Name,qtr,year,date,link,publish_date
MDB,MongoDB,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/02/mongodb-mdb-q1-2024-earnings-call-transcript/,2023-06-02
S,SentinelOne,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/02/sentinelone-s-q1-2024-earnings-call-transcript/,2023-06-02
FIVE,Five Below,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/five-below-five-q1-2023-earnings-call-transcript/,2023-06-01
JWN,Nordstrom,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/nordstrom-jwn-q1-2023-earnings-call-transcript/,2023-06-01
AI,C3.ai,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/c3ai-ai-q4-2023-earnings-call-transcript/,2023-06-01
VEEV,Veeva Systems,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/veeva-systems-veev-q1-2024-earnings-call-transcrip/,2023-06-01
LE,Lands' End,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/lands-end-le-q1-2023-earnings-call-transcript/,2023-06-01
M,Macy's,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/macys-m-q1-2023-earnings-call-transcript/,2023-06-01
DLTH,Duluth,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/duluth-dlth-q1-2023-earnings-call-transcript/,2023-06-01
LULU,Lululemon Athletica,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/lululemon-athletica-lulu-q1-2023-earnings-call-tra/,2023-06-01
NCNO,nCino,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/ncino-ncno-q1-2024-earnings-call-transcript/,2023-06-01
ZUMZ,Zumiez,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/zumiez-zumz-q1-2023-earnings-call-transcript/,2023-06-01
TLYS,Tilly's,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/tillys-tlys-q1-2023-earnings-call-transcript/,2023-06-01
ZS,Zscaler,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/zscaler-zs-q3-2023-earnings-call-transcript/,2023-06-01
ESTC,Elastic,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/elastic-estc-q4-2023-earnings-call-transcript/,2023-06-01
AVGO,Broadcom,Q2,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/broadcom-avgo-q2-2023-earnings-call-transcript/,2023-06-01
OKTA,Okta,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/okta-okta-q1-2024-earnings-call-transcript/,2023-06-01
DG,Dollar General,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/06/01/dollar-general-dg-q1-2023-earnings-call-transcript/,2023-06-01
